publishedAt,authorDisplayName,textDisplay,likeCount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T07:50:05Z,Afifi Jamal,Pak Erik klo mau dekat sama rakyat harus tetap jadi ketum PSSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T07:04:38Z,Argookta 13,Apapun alesannya jangan dukung dan pilih erick tohir jadi wapres. Kami mau pak erick tetap di sepakbola,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T06:54:50Z,EKSPEDISI TENGAH MALAM,micnya pelan ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T06:43:32Z,Daeng Si7,Semoga lebih banyak warga Indonesia yg terinspirasi dgn Pak Erick dan mengikutinya demi bangsa tercinta,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T06:43:27Z,Narto Putra,Di PSSI dulu pak ... Kmi pecinta timnas GK akn melupkn jasa pnjenengan utk Timnas dan sepk bola indonesia,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T06:33:31Z,Sahabat Tgl,Gapapa kalah 7-0 dari pd WO kalah 3-0<br>Tanpa main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T06:11:05Z,Nana Permana,Pak erick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T05:45:21Z,Freddy Wau,🙌,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T05:16:24Z,Angga S,Lanjut jabatan ketum sampai selesai pak. Prediksi skor dgn kondisi setelah hujan 0-0✌🏻,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T05:14:11Z,CL Chanel Lucu,Bawa Al Nasr sama babang Ronaldo pak 👍👍,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T05:10:20Z,Caca Nana,Kita haru doa smoga tim 🇮🇩 menang knapa harus kita sokong negara lain itukn satu doa.👍🇮🇩,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T05:08:48Z,Misterius Uda,Memang sangat kecewa lah ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T04:45:14Z,GALIH GANGSAR PRASETYO,Kalau draw. jadiin hari libur nasional 😂,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T04:42:39Z,Nurii Hayati,Terima kasih pak Erik Tohir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T04:40:00Z,Dido Miranto,Indonesia Menang !!!! agar Messi tau siapa Indonesia !!!!! klo perlu pakai Orang Pintar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T04:09:38Z,br0ski,jd corong jg ternyata najwa 😂😂😂😂,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T03:56:38Z,Cicil Kijang,Argentina 4 - 1 Indonesia..,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T03:46:36Z,Ahmad Rodiansyah,Periode selanjutnya saja pak jadi Wapresnya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T03:35:07Z,Muhammad Haris,Sudah dipastikan spanduk &quot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T03:29:28Z,Heris Margana,Messi ga usah datang biar Indonesia menang,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T03:05:26Z,Ettem No Time,Jangan cawapres cawapresan dulu pak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T02:56:54Z,emi mamahnya gilang,Sy jd cinta bola pak gara2 pimpinya bapak,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T02:54:49Z,Timnas Garuda,Jika bapak erik toher mau di jadikan cawapres di 2024 saya akan dukung pak erik bukan cuma jadi cawapres tetapi jadi capres R.I,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T02:46:51Z,Gabriel,Tahun depan PORTUGAL dengan CRISTIANO NYA !,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T02:46:24Z,Petinju Handal 3.0,wah kayaknya pak erick akan jadi nih cawapres kalo dari ngomongan nya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T02:39:22Z,Gabriel,Indonesia nggak butuh messi 👎👎👎,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T02:31:40Z,cherie candrio,Paling main persahabatan ini mah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T01:44:59Z,Jeff Tech Tutorial,ini baru ketum PSSI di jalan yang benar...,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T01:16:21Z,Vano_agastya,Gokil pak erik,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T01:13:25Z,Simple Logic / logika Sederhana -💡,"<a href=""http://www.youtube.com/results?search_query=%23lebih"">#lebih</a> bagus SkyBet<br><a href=""http://www.youtube.com/results?search_query=%23lebih"">#lebih</a> bagus SkyBet<br><a href=""http://www.youtube.com/results?search_query=%23lebih"">#lebih</a> bagus SkyBet<br><a href=""http://www.youtube.com/results?search_query=%23lebih"">#lebih</a> bagus SkyBet",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T01:11:33Z,Simple Logic / logika Sederhana -💡,Hallaahh... pola permainan timnas dan pola permainan BRI liga 1 ngga jauh beda. Dari Grade <b>SS - C</b> level liga Indonesia itu Grade B.<br>Bahkan insfratrukturnya masih lebih bagus SkyBet.,,,,, MNL Myanmar</i>  = <b>Grade B</b><br><br>Kenapa liga Indonesia buruk, dan timnasnya juga ngga beda jauh beda.<br><br>1. Insfratruktur ngga modern era sekarang.<br>2. Kelengkapan Latihan di bawah standar.<br>3. Pola permainan kasar, amburadul.<br>4. Resiko cedera lebih tinggi daripada negara selevel.<br>5. Jarang di minati pemain Grade A.<br>6. Wasit  ( <b><i>kalo belum KO belum pelanggaran</i></b> )<br>7. Suporter urakan<br>8. Manajemen, money is number one.<br>9. Investasi jangka panjang di anak tirikan.<br>10. Mafia, Sponsor," kesepakatan membuat kita tahu siapa pemenangnya.<br><br><a href=""""http://www.youtube.com/results?search_query=%23pemain"""">#Pemain</a> Eropa modern yang pensiun tahun 2010+ an banyak loh.<br>Bisa kali 200 JT mah ya ngga <b><i>koh CEO.</i></b><br><a href=""""http://www.youtube.com/results?search_query=%23misalnya_xavi_hernandes"""">#misalnya_Xavi_Hernandes</a> Barca", kita bisa tuh cari pemain dari klub kasta tengah.<br>Ngga usah cari yang mahal," yang di butuhkan pengalaman untuk jangka panjang.<br><a href=""""http://www.youtube.com/results?search_query=%23koohh"""">#koohh</a> aduuhh koohh akoo maoo keluaarrr.. Wkwkwkwkwkkw."";0;;;",,,,,,,,,,,,,,,,,,
2023-06-19T00:56:07Z,Mubarak Bin Zimah,Di Era Pak ET Inilah Akhirnya PSSI Punya Ketua Yang Bener Bener Paham Dan Ngerti Sepakbola,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T00:48:13Z,csp,Padahal yg mmbuat indonesia maju dalam sepak bola adalah skil pemain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T00:46:28Z,Eko Widodo,Cara pandang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T00:36:53Z,Oga official,Jangan jadi cawapres pak bangun dulu sepakbola kita❤,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T00:19:07Z,Eko Widodo,Semoga Tersampaikan ke Pak Eric Tohir.<br>Tolong Pak Pemain muda yg potensial yang Tidak main di Luar Negri .<br>Dikumpulkan ke satu klub Liga 1 Biar lbh banyak menit Bermain dan Ketemu KemestriNya.<br>Jadi mereka semakin matang dan gak perlu Tc jangka Panjang.<br>Pelatih KlubNya cari yg betul betul Ok.🙏,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-19T00:14:04Z,Dedi Supriadi,Terll jauh....mimpinya... dagelan tanding sama argentina...sama Thailand dan Vietnam saja keok.... mafia nya banyak di PSSi. Liga 1 saja gampang diatur oleh Direkturnya dari Persija mengambil langkah..untuk menguntungkan Persija.......,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T23:58:20Z,bigoreseller wa5,pak erick luar biasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T23:46:44Z,kumpulan video shorts lucu,Menurut saya pak erik akan tetap masuk cawapres karena gebrakan2 yg di buatnya seakan juga sambil menyelam minum air. Meski saya pribadi ingin pak erik fokus di pssi saja tp apa mau di kata politik tidak mengenal kesetiaan sejati,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T23:00:26Z,Mansyur Al-Mukhsinin,TES NYALI SEBAIKNYA 2X PAK..<br>Datangkan CR7 dan Portugal..<br><br>Yakin kita menang....<br>Indonesia 3-2 Argentina<br>          atau minimal <br>Indonesia 2-1 Argentina<br><br>Yang penting kita dukung secara total.<br>Kita MERAH kan GBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T21:36:18Z,ngopi,Indonesia. ...,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T21:17:52Z,Dewi Asna,kalau jadi cawapres kemungkinan para penggemar bola malah gak milih karna pinginya pak erick fokus meningkatkan prestasi timnas pssi. jangan ikut2qn berpolitik,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T20:56:20Z,Ignatius Hendry,Yakin sih PSSI lebih baik di tangan Erick Thohir<br>Indonesia 🇮🇩,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T20:52:41Z,Ihzar Cahyo,Yang ditakutin cuma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T19:31:47Z,Davi Shalihin,Jangan dulu jadi cawapres pak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T19:20:56Z,Windi Franatha,PAk ET sangat luas wawasannya. Saya dukung bapak jadi Presiden nantinya...,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T18:33:31Z,Rizkymau17,saya berharap pak erick di PSSI pak..jangan jadi cawapres pak di dunia politik. tetap me maju kan sepak bola indonesia. sangat terbukti optimis dengan kinerja pak erick di pssi memajukan sepak bola.,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T17:28:06Z,Fakta Unik TV,dari podcast ini gw belajar pola pikir orang yang sukses,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T17:27:58Z,WELLGIe,Kalo pak Erick ikut cawapres<br>Jangan di pilih gaes. Biar jadi Ketum PSSI dulu❤,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T15:03:19Z,Natsuki Kabs,Buktikan kalau Indonesia tidak bisa diremehkan oleh Messi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T14:33:38Z,Endang Purwanti,Jgn pernah tergiur politik2 pilkada ato cawapres ya pa... saya lebih setuju bapa memajukan sepakbola indonesia. Saya percaya sama bapa 100%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T14:23:41Z,Suprapto Rjp88,Siapa pun lawan nya saya tetap timnas di dada,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T14:22:28Z,Suprapto Rjp88,Klo saya yakin Indonesia menang 1-0 untuk Indonesia aamiin,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T14:05:11Z,Slamet Riayadi,Gag usah tanya sekor.<br><br>Tanpa messi cemplang.tanpa messi tidak akan mndapatkn mental&amp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T13:57:49Z,Sobirin E4867CC,PSSI Saja pak,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T13:49:24Z,Devi Firdaus,Saya merasa optimis dengan Pak Erick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T13:46:27Z,ario wiby93,Ilmu yg sangat berharga untuk kaum pengusaha... Membuka wawasan yg sangat luas,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T13:27:10Z,Mardigu bicara,&quot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-18T13:22:03Z,Avam Sketsa,ET merupakan salah satu aset negara. Langkah beliau ‘menerima’ jabatan PSSI agak riskan dgn situasi politik sekarang. ‘Insiden’ batalnya Pildun U20 menegaskan bahwa Politik masih cukup mempengaruhi hampir di semua lini. Dan sayangnya politik skrg ini lebih digunakan utk menjegal individu2 tertentu,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
